filename,dut,dut_version,os_version,config,test_case_id,line_number,timestamp,run_date,status,error_msg,suite,raw_line,failure_freq_suite,failure_freq_dut,execution_duration,time_since_last_failure,recent_failure_flag,config_hash,cluster,root_cause_label,keywords
tc_conf_ipv4_ihg_022_20240723-151655.log,cisco,1.0,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,519,2024-07-23 15:17:19.777,2024-07-23,FAIL,Could not GET ftppackets.txt file from FTP server.,ipv4,15:17:19.777 # TEST CASE FAILED :Could not GET ftppackets.txt file from FTP server.,36.0,45.0,13,0.0,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240723-151655.log,cisco,1.0,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,636,2024-07-23 15:17:25.163,2024-07-23,FAIL,Could not GET ftppackets.txt file from FTP      #,ipv4,15:17:25.163 # Result: FAILED  Could not GET ftppackets.txt file from FTP      #,36.0,45.0,57,5.386,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240723-152428.log,cisco,1.0,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,522,2024-07-23 15:24:47.317,2024-07-23,FAIL,Could not GET ftppackets.txt file from FTP server.,ipv4,15:24:47.317 # TEST CASE FAILED :Could not GET ftppackets.txt file from FTP server.,36.0,45.0,48,442.154,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240723-152428.log,cisco,1.0,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,639,2024-07-23 15:24:52.647,2024-07-23,FAIL,Could not GET ftppackets.txt file from FTP      #,ipv4,15:24:52.647 # Result: FAILED  Could not GET ftppackets.txt file from FTP      #,36.0,45.0,26,5.33,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240724-090903.log,cisco,1.0,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,510,2024-07-24 09:09:20.724,2024-07-24,FAIL,Could not receive Ping reply from H2.,ipv4,09:09:20.724 # TEST CASE FAILED :Could not receive Ping reply from H2.,36.0,45.0,39,63868.077,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240724-090903.log,cisco,1.0,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,627,2024-07-24 09:09:25.704,2024-07-24,FAIL,Could not receive Ping reply from H2.           #,ipv4,09:09:25.704 # Result: FAILED  Could not receive Ping reply from H2.           #,36.0,45.0,27,4.98,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240724-090945.log,cisco,1.0,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,510,2024-07-24 09:10:02.260,2024-07-24,FAIL,Could not receive Ping reply from H2.,ipv4,09:10:02.260 # TEST CASE FAILED :Could not receive Ping reply from H2.,36.0,45.0,22,36.556,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240724-090945.log,cisco,1.0,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,627,2024-07-24 09:10:07.232,2024-07-24,FAIL,Could not receive Ping reply from H2.           #,ipv4,09:10:07.232 # Result: FAILED  Could not receive Ping reply from H2.           #,36.0,45.0,53,4.972,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240724-091142.log,cisco,1.0,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,510,2024-07-24 09:11:59.638,2024-07-24,FAIL,Could not receive Ping reply from H2.,ipv4,09:11:59.638 # TEST CASE FAILED :Could not receive Ping reply from H2.,36.0,45.0,51,112.406,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240724-091142.log,cisco,1.0,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,627,2024-07-24 09:12:04.604,2024-07-24,FAIL,Could not receive Ping reply from H2.           #,ipv4,09:12:04.604 # Result: FAILED  Could not receive Ping reply from H2.           #,36.0,45.0,12,4.966,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240724-091401.log,cisco,1.0,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,510,2024-07-24 09:14:19.029,2024-07-24,FAIL,Could not receive Ping reply from H2.,ipv4,09:14:19.029 # TEST CASE FAILED :Could not receive Ping reply from H2.,36.0,45.0,42,134.425,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240724-091401.log,cisco,1.0,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,627,2024-07-24 09:14:24.000,2024-07-24,FAIL,Could not receive Ping reply from H2.           #,ipv4,09:14:24.000 # Result: FAILED  Could not receive Ping reply from H2.           #,36.0,45.0,39,4.971,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240725-082036.log,cisco,1.1,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,517,2024-07-25 08:21:07.427,2024-07-25,FAIL,Could not receive Ping reply from H2.,ipv4,08:21:07.427 # TEST CASE FAILED :Could not receive Ping reply from H2.,36.0,45.0,35,83203.427,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240725-082036.log,cisco,1.1,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,633,2024-07-25 08:21:12.396,2024-07-25,FAIL,Could not receive Ping reply from H2.           #,ipv4,08:21:12.396 # Result: FAILED  Could not receive Ping reply from H2.           #,36.0,45.0,21,4.969,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240725-082213.log,cisco,1.1,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,518,2024-07-25 08:22:44.900,2024-07-25,FAIL,Could not receive Ping reply from H2.,ipv4,08:22:44.900 # TEST CASE FAILED :Could not receive Ping reply from H2.,36.0,45.0,26,92.504,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
tc_conf_ipv4_ihg_022_20240725-082213.log,cisco,1.1,Linux,ipv4_cisco_2,tc_func_ipv4_ifg_001.tcl,529,2024-07-25 08:22:45.902,2024-07-25,FAIL,Could not receive Ping reply from H2.           #,ipv4,08:22:45.902 # Result: FAILED  Could not receive Ping reply from H2.           #,36.0,45.0,44,1.002,1,21984986,5,Bit / Marker Configuration Error,"#, test, case, not, only"
