LogID,MessageSnippet,AnomalyScore
898,This test case is only applicable for transport type UDP/IPv4 with Non Slave Only Ordinary Clock,-0.026543529412619837
918,This test case is only applicable for transport type UDP/IPv4 with Non Slave Only Ordinary Clock,-0.026543529412619837
919,This test case is only applicable for transport type UDP/IPv4 with Non Slave Only Ordinary Clock,-0.026543529412619837
920,This test case is only applicable for two step clock configured for transport type UDP/IPv4 with Non Slave Only Ordinary,-0.025308723551874746
921,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
922,This test case is only applicable for transport type UDP/IPv4 with Non Slave Only Ordinary Clock,-0.026543529412619837
923,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
924,This test case is only applicable for two step clock configured for transport type UDP/IPv4,-0.013060949700633206
941,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
976,This test case is only applicable for Unicast Mode with Non Slave only ordinary clock,-0.0006177865275810435
1042,This test case is only applicable for Unicast Mode with Non Slave only ordinary clock,-0.0006177865275810435
1043,This test case is only applicable for Unicast Mode with Non Slave only ordinary clock,-0.0006177865275810435
1080,This test case is only applicable for Slave Only Ordinary Clock,-0.003603638885292415
1081,This test case is only applicable for Slave Only Ordinary Clock,-0.003603638885292415
1092,This test case is only applicable for Unicast Mode with Non Slave only ordinary clock,-0.0006177865275810435
1098,This test case is only applicable for Slave Only Ordinary Clock,-0.003603638885292415
1105,This test case is only applicable for Slave Only Ordinary Clock,-0.003603638885292415
1106,This test case is only applicable for Slave Only Ordinary Clock,-0.003603638885292415
1201,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1202,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1203,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1204,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1205,This test case is only applicable for two step clock configured for transport type UDP/IPv4,-0.013060949700633206
1206,This test case is only applicable for two step clock configured for transport type UDP/IPv4,-0.013060949700633206
1207,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1208,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1209,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1210,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1211,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1212,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1213,This test case is only applicable for two step clock configured for transport type UDP/IPv4,-0.013060949700633206
1214,This test case is only applicable for two step clock configured for transport type UDP/IPv4,-0.013060949700633206
1235,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1554,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1557,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1603,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1604,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1605,This test case is only applicable for two step clock configured for transport type UDP/IPv4,-0.013060949700633206
1606,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1607,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1608,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1609,This test case is only applicable for two step clock configured for transport type UDP/IPv4,-0.013060949700633206
1626,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1815,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1816,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1817,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1818,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1819,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1820,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1821,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1822,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1823,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1824,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1825,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1826,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1827,This test case is only applicable for Transport type UDP/IPv4,-0.006296734686030314
1828,This test case is only applicable for Transport type UDP/IPv4,-0.006296734686030314
1829,This test case is only applicable for Transport type UDP/IPv4,-0.006296734686030314
1830,This test case is only applicable for Transport type UDP/IPv4,-0.006296734686030314
1831,This test case is only applicable for Transport type UDP/IPv4,-0.006296734686030314
1832,This test case is only applicable for Transport type UDP/IPv4,-0.006296734686030314
1931,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1932,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1933,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1934,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1935,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1936,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1937,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1938,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1939,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1940,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
1941,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2203,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2204,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2207,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2208,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2211,This test case is only applicable for two step clock configured for transport type UDP/IPv4,-0.013060949700633206
2212,This test case is only applicable for two step clock configured for transport type UDP/IPv4,-0.013060949700633206
2215,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2216,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2219,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2220,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2223,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2224,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2227,This test case is only applicable for two step clock configured for transport type UDP/IPv4,-0.013060949700633206
2228,This test case is only applicable for two step clock configured for transport type UDP/IPv4,-0.013060949700633206
2269,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2270,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2810,This test case is not supported for Multicast mode in UDP/IPv4 Transport type,-0.008410977306744671
2813,This test case is not supported for Multicast mode in UDP/IPv4 Transport type,-0.008410977306744671
2816,This test case is not supported for Multicast mode in UDP/IPv4 Transport type,-0.008410977306744671
2831,This test case is not supported for Multicast mode in UDP/IPv4 Transport type,-0.008410977306744671
2834,This test case is not supported for Multicast mode in UDP/IPv4 Transport type,-0.008410977306744671
2839,This test case is not supported for Multicast mode in UDP/IPv4 Transport type,-0.008410977306744671
2848,13:52:12.833 # Result: ABORTED  Unicast Pre Requisite Failed - Unable to        #,-0.00905898186154952
2958,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2959,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2960,This test case is only applicable for two step clock configured for transport type UDP/IPv4,-0.013060949700633206
2961,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2962,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2963,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
2964,This test case is only applicable for two step clock configured for transport type UDP/IPv4,-0.013060949700633206
2981,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
3201,This test case is only applicable for transport type UDP/IPv4,-0.006296734686030314
