timestamp,dut,test_case_id,status,error_message
1792-01-01,1384,drmf_atserisk_testing,,18.16.0
1793-01-01,1384,drmf_atserisk_testing,,18.16.0
,1384,dtmf_e1t1_pbx,,*
,E bit,Duration  Field and Sequence Number).	admin	2024-11-21 12:59:49	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_001.tcl,,
,1384,dtmf_check_mgw,,*
,1385,copy_of_dtmf_check_mgw,,*
,1387,copy_of_dtmf_check_mgw,,*
,1387,dtmf_check_mgw,,*
,1388,dtmf_e1t1_pbx,,*
,1389,dtmf_e1t1_pbx,,*
,1395,dtmf_e1t1_pbx,,*
,1396,drmf_atserisk_testing,,18.16.0
,E bit,Duration  Field and Sequence Number).	admin	2024-07-30 14:36:46	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-07-30 14:50:05	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-07-30 15:19:33	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-07-30 15:50:00	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-07-30 15:53:38	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-07-30 15:55:10	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-07-30 16:08:55	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-07-31 19:08:17	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-07-31 19:23:53	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
1778-01-01,1396,drmf_atserisk_testing,,18.16.0
1779-01-01,1396,drmf_atserisk_testing,,18.16.0
1780-01-01,1396,drmf_atserisk_testing,,18.16.0
1781-01-01,1396,drmf_atserisk_testing,,18.16.0
1787-01-01,1396,drmf_atserisk_testing,,18.16.0
1788-01-01,1396,drmf_atserisk_testing,,18.16.0
1789-01-01,1396,drmf_atserisk_testing,,18.16.0
1790-01-01,1396,drmf_atserisk_testing,,18.16.0
1791-01-01,1396,drmf_atserisk_testing,,18.16.0
1794-01-01,1396,drmf_atserisk_testing,,18.16.0
1795-01-01,1396,drmf_atserisk_testing,,18.16.0
1796-01-01,1396,drmf_atserisk_testing,,18.16.0
1797-01-01,1396,drmf_atserisk_testing,,18.16.0
1798-01-01,1396,drmf_atserisk_testing,,18.16.0
,E bit,Duration  Field and Sequence Number).	admin	2024-09-25 12:18:03	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-09-25 12:24:16	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-09-25 12:36:18	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-09-25 12:41:46	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-09-25 12:43:42	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-09-25 13:04:18	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-09-25 13:27:07	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-09-25 14:32:35	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-09-25 14:35:27	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
,E bit,Duration  Field and Sequence Number).	admin	2024-09-26 10:58:59	DTMF	protocol/Dtmf/Testscript/tc_conf_dtmf_dtg_002.tcl,,
1836-01-01,1396,dtmf_pbx,,18.6.0
