test_case,predicted_probability,priority_score,risk_level,top_features
tc_conf_udp_hvg_003,0.99986625,17.99709252439677,HIGH,failure_rate:0.5185;time_since_last_failure:0.001
tc_conf_udp_hvg_003,0.9998585,17.996953053402233,HIGH,failure_rate:0.5185;time_since_last_failure:0.001
tc_conf_udp_hvg_003,0.9998585,17.996953053402233,HIGH,failure_rate:0.5185;time_since_last_failure:0.001
tc_conf_udp_hvg_003,0.9998536,17.996865079390293,HIGH,failure_rate:0.5185;time_since_last_failure:0.001
tc_conf_udp_hvg_003,0.9998536,17.996865079390293,HIGH,failure_rate:0.5185;time_since_last_failure:0.001
tc_conf_udp_hvg_002,0.99985313,17.99685649655986,HIGH,failure_rate:0.431;time_since_last_failure:0.001
tc_conf_udp_hvg_003,0.99985075,17.996813582407697,HIGH,failure_rate:0.5185;time_since_last_failure:0.001
tc_conf_ptp-oc_smg_017,0.9998159,17.9966858625412,HIGH,failure_rate:0.92;time_since_last_failure:0.0
tc_conf_udp_hvg_003,0.9998436,17.9966848399512,HIGH,failure_rate:0.5185;time_since_last_failure:0.001
tc_conf_ptp-oc_pcg_014,0.99981576,17.996683716773987,HIGH,failure_rate:0.7179;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_001,0.99981576,17.996683716773987,HIGH,failure_rate:0.9167;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_014,0.99981576,17.996683716773987,HIGH,failure_rate:0.8333;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_015,0.99981576,17.996683716773987,HIGH,failure_rate:0.875;time_since_last_failure:0.0
tc_conf_ptp-oc_mhg_005,0.99984276,17.99666981999794,HIGH,failure_rate:0.2593;time_since_last_failure:0.001
tc_conf_ptp-oc_pcg_012,0.99981457,17.996662259101868,HIGH,failure_rate:0.9259;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_015,0.99981457,17.996662259101868,HIGH,failure_rate:0.875;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_014,0.99981457,17.996662259101868,HIGH,failure_rate:0.8333;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_003,0.9998135,17.99664294719696,HIGH,failure_rate:0.5;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_009,0.99981314,17.996636509895325,HIGH,failure_rate:0.44;time_since_last_failure:0.0
tc_conf_ptp-oc_mhg_004,0.9998405,17.996629051553384,HIGH,failure_rate:0.2414;time_since_last_failure:0.001
tc_conf_ptp-tc_mfg_005,0.99981254,17.996625781059265,HIGH,failure_rate:0.8824;time_since_last_failure:0.0
tc_conf_ptp-tc_mfg_005,0.99981254,17.996625781059265,HIGH,failure_rate:0.8824;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_010,0.99981123,17.996602177619934,HIGH,failure_rate:0.4286;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_010,0.99981123,17.996602177619934,HIGH,failure_rate:0.4286;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_011,0.99981016,17.996582865715027,HIGH,failure_rate:0.9219;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_012,0.99981016,17.996582865715027,HIGH,failure_rate:0.9259;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_015,0.99981016,17.996582865715027,HIGH,failure_rate:0.875;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_011,0.99981016,17.996582865715027,HIGH,failure_rate:0.9219;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99981004,17.996580719947815,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_004,0.9998092,17.99656569957733,HIGH,failure_rate:0.4615;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_009,0.9998092,17.99656569957733,HIGH,failure_rate:0.44;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_005,0.9998091,17.99656355381012,HIGH,failure_rate:0.5;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_005,0.9998091,17.99656355381012,HIGH,failure_rate:0.5;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_003,0.9998091,17.99656355381012,HIGH,failure_rate:0.5;time_since_last_failure:0.0
tc_conf_ptp-oc_smg_003,0.9998091,17.99656355381012,HIGH,failure_rate:0.5;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_005,0.9998091,17.99656355381012,HIGH,failure_rate:0.5;time_since_last_failure:0.0
tc_conf_udp_hvg_002,0.99983644,17.996556097494704,HIGH,failure_rate:0.431;time_since_last_failure:0.001
tc_conf_ptp-oc_mtg_017,0.99980813,17.996546387672424,HIGH,failure_rate:0.7308;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_015,0.99980813,17.996546387672424,HIGH,failure_rate:0.8636;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_001,0.99980813,17.996546387672424,HIGH,failure_rate:0.9167;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_011,0.99980813,17.996546387672424,HIGH,failure_rate:0.9219;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_012,0.99980813,17.996546387672424,HIGH,failure_rate:0.9259;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_015,0.99980813,17.996546387672424,HIGH,failure_rate:0.875;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_015,0.99980813,17.996546387672424,HIGH,failure_rate:0.875;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_014,0.99980813,17.996546387672424,HIGH,failure_rate:0.8333;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_015,0.99980813,17.996546387672424,HIGH,failure_rate:0.875;time_since_last_failure:0.0
tc_conf_ptp-oc_mfg_014,0.99980813,17.996546387672424,HIGH,failure_rate:0.8333;time_since_last_failure:0.0
tc_conf_ptp-oc_mtg_017,0.99980813,17.996546387672424,HIGH,failure_rate:0.7308;time_since_last_failure:0.0
tc_conf_ptp-tc_pcg_001,0.99980813,17.996546387672424,HIGH,failure_rate:0.7698;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_011,0.99980813,17.996546387672424,HIGH,failure_rate:0.9219;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_014,0.99980813,17.996546387672424,HIGH,failure_rate:0.7179;time_since_last_failure:0.0
tc_conf_ptp-oc_pcg_015,0.99980813,17.996546387672424,HIGH,failure_rate:0.8636;time_since_last_failure:0.0
tc_conf_ptp-bc_pcg_013,0.99980813,17.996546387672424,HIGH,failure_rate:0.7692;time_since_last_failure:0.0
