filename,dut,dut_version,os_version,config,test_case_id,suite,run_date,execution_duration,failure_freq_suite,failure_freq_dut,recent_failure_flag,error_msg,cluster,root_cause_label,keywords,label
tc_conf_dtmf_hvg_009_20241118-125727.log,Dinstar,1.1,Linux,dtmf_check_mgw,tc_conf_dtmf_hvg_009,dtmf,2024-11-18,10,46.0,105.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-bc_mhg_015_20241015-164558.log,hirshman_ieee_mul_untag_two_step,1.2,Linux,ptp-bc_hirshman_ieee_mul_untag_2step,tc_conf_ptp-bc_mhg_015,ptp-bc,2024-10-15,29,194.0,24.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-tc_mhg_003_20241015-191645.log,ptp-tc_hirshman_udp_unicast_untag_2step,1.2,Linux,ptp-tc_hirshman_udp_unicast_untag_2step,tc_conf_ptp-tc_mhg_003,ptp-tc,2024-10-15,10,363.0,91.0,0,Unicast Pre Requisite Failed - Unable to resolve ARP,-1,Normal,No keywords,ABORT
tc_conf_ptp-bc_smg_003_20241015-173628.log,hirshman_udp_mul_untag,1.1,Linux,ptp_bc_hirschman_udp_mult_untag,tc_conf_ptp-bc_smg_003,ptp-bc,2024-10-15,57,194.0,24.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_sctp_pmg_002_20241121-161119.log,Kamailio,1.3,Linux,sctp_kamailio_2,tc_conf_sctp_pmg_002,sctp,2024-11-21,34,41.0,46.0,0,DUT has not sent SCTP DATA chunk (SIP INVITE    #,-1,Normal,No keywords,ABORT
tc_conf_ptp-tc_pcg_001_20241017-123450.log,ptp-tc_hirshman_pp1_untag_2step,1.1,Linux,ptp-tc_hirshman_pp1_untag_2step,tc_conf_ptp-tc_pcg_001,ptp-tc,2024-10-17,55,363.0,22.0,1,for command: ptp v2tc primary-domain 256,9,PTP Command / Domain Configuration Error,"command, ptp, v2bc, v2tc, 256",FAIL
tc_conf_ptp-oc_mfg_018_20241106-151129.log,Hirsch_Oc_teleco_Linux_simulation,1.1,Linux,ptp_oc_telecom_linux_simulation,tc_conf_ptp-oc_mfg_018,ptp-oc,2024-11-06,22,1115.0,319.0,0,This test case is only applicable for Unicast Mode,-1,Normal,No keywords,ABORT
tc_conf_sctp_tdg_001_20241127-104311.log,Kamailio,1.3,Linux,sctp_kamailio_3,tc_conf_sctp_tdg_001,sctp,2024-11-27,55,41.0,46.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-bc_beg_013_20241015-175617.log,hirshman_udp_mul_untag,1.1,Linux,ptp_bc_hirschman_udp_mult_untag,tc_conf_ptp-bc_beg_013,ptp-bc,2024-10-15,19,194.0,24.0,0,This test case is only applicable for Telecom Profile ITU-T G.8275.1/Y.1369.1,-1,Normal,No keywords,ABORT
tc_conf_dtmf_pvg_005_20241112-130519.log,Dinstar,1.1,Linux,dtmf_check_mgw,tc_conf_dtmf_pvg_005,dtmf,2024-11-12,19,46.0,105.0,0,DTMF RTP session packets are not received on TEE##                .                                               #,-1,Normal,No keywords,ABORT
tc_conf_v6bgp4_mbgp_001_20241016-143132.log,cisco,1.1,Linux,v6bpg4_test,tc_conf_v6bgp4_mbgp_001,v6bgp4,2024-10-16,18,9.0,45.0,0,Unable to establish a Passive TCP connection on T1,-1,Normal,No keywords,ABORT
